class;parent;name;position;scale;model;origin;shader;texture;collider_type;subdivisions;points;rotation;collider;color
Entity;;'';Vec3(-5.05155, 0.34537, -4.95027);Vec3(1, 1.62675, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-0.145351, -31.3954, 0);'box';
Entity;;'';Vec3(-2.52262, 0.05421, -4.95027);Vec3(1, 1.04443, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-5.08721, -4.65117, 0);'box';
Entity;;'';Vec3(-3.77403, 0.21806, -4.95027);Vec3(1, 1.37213, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-6.03198, -13.3721, 0);'box';
Entity;;'';Vec3(-5.05155, 0.19428, -6.57237);Vec3(1, 1.32456, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-3.63372, 14.3169, 0);'box';
Entity;;'';Vec3(-1.64195, -0.02037, -6.57237);Vec3(2.76135, 0.895258, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(0.436045, -6.32268, 0);'box';
Entity;;'';Vec3(-3.77403, 0.09065, -6.57237);Vec3(1, 1.11731, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-3.70639, 11.5552, 0);'box';
Entity;;'';Vec3(-5.05155, 0.49679, -8.2112);Vec3(1, 1.92959, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-2.18023, 4.86919, 0);'box';
Entity;;'';Vec3(-2.52262, -0.05909, -8.2112);Vec3(1, 0.817806, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(9.6657, -5.74128, 0);'box';
Entity;;'';Vec3(-3.74471, -0.13274, -8.2112);Vec3(1.05863, 0.670514, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-0.43605, 9.01163, 0);'box';
PokeShape;;;Vec3(11.7381, -0.01124, 18.6926);;;;'lit_with_shadows_shader';'grass';'None';;[Vec3(-6.89023, 0, -5.93539), Vec3(-5.63213, 0, -6.7236), Vec3(-3.06749, 0, -7.45143), Vec3(0.883525, 0, -6.64059), Vec3(6.21342, 0.000496293, -5.19114), Vec3(11.1816, 0.000748294, -1.60608), Vec3(13.0414, 0.000874309, 0.223267), Vec3(12.6511, 0.0010004, 2.84322), Vec3(9.07899, 0.000750429, 5.98706), Vec3(5.59802, 0.000500321, 5.69713), Vec3(3.45835, 0.000375334, 7.03647), Vec3(2.95372, 0.000250343, 9.16615), Vec3(4.31376, 0.00012526, 9.91672), Vec3(5.6031, 0, 12.5358), Vec3(4.99113, 0.00049994, 13.8873), Vec3(3.37031, 0.000749853, 15.6645), Vec3(-0.513243, 0.000874871, 16.5425), Vec3(-2.08884, 0.000999762, 15.3409), Vec3(-3.86994, 0.000500111, 16.2354), Vec3(-5.61374, 0.000375315, 18.7785), Vec3(-5.64462, 0.000250529, 22.5197), Vec3(-18.9718, 0.000125618, 15.9756), Vec3(-14.6812, 0, 10.564), Vec3(-14.2555, 0, 7.90265), Vec3(-13.5866, 0, 4.08694), Vec3(-10.7991, 0, 1.16432), Vec3(-9.05981, 0, 1.75484), Vec3(-7.52061, 0, 0.920164), Vec3(-6.02536, 0, -1.79266), Vec3(-7.2474, 0, -3.23652)];Vec3(0, 27.8437, 0);;
Entity;;'tree_top';Vec3(0, 1.5, 0);;'cube';;'lit_with_shadows_shader';'';'None';;;;'box';color.green
ErrorEntity;;'';;;'wireframe_cube';;'unlit_shader';'';'None';;;;;color.red
Entity;'tree';'tree_top';Vec3(0, 1.5, 0);;'cube';;'unlit_shader';'';'None';;;;'box';color.green
Tree;;'tree';Vec3(9.0434, 0.064, 2.3039);;'cube';;'lit_with_shadows_shader';'';'None';;;;'box';color.brown
ErrorEntity;;'';;;'wireframe_cube';;'unlit_shader';'';'None';;;;;color.red
TriplanarCube;;;Vec3(0.435192, 0.336887, 5.44347);;'cube';;'unlit_shader';'white_cube';'None';;;;'box';
TriplanarCube;;;Vec3(3.72594, 0.392964, 4.31997);;'cube';;'unlit_shader';'white_cube';'None';;;;'box';
ClassSpawner;;'class_spawner';Vec3(5.20512, 0.0639994, -4.9133);;'wireframe_cube';;'lit_with_shadows_shader';;'None';;;;;color.lime
Pyramid;;;Vec3(8.315366, 0.06399936, -4.2948493);;;;'unlit_shader';'brick';'None';;;;;
Pyramid;;;Vec3(7.631849, 0.06399952, -7.8112716);;;;'unlit_shader';'brick';'None';;;;;
